product_id,user_id,review_text,timestamp,rating,verified_purchase,
P7,U64,Not worth it.,2025-08-04 13:00:00,2,1,
P7,U65,Worst purchase.,2025-08-05 14:00:00,1,1,
P7,U66,Okay product.,2025-08-06 15:00:00,3,1,
P7,U67,Decent quality.,2025-08-07 16:00:00,3,1,
P8,U70,Amazing!!! Best product!!!,2025-08-10 09:00:00,5,0,
P8,U71,Superb!!! Must buy!!!,2025-08-10 09:01:00,5,0,
P8,U72,Highly recommended!!!,2025-08-10 09:02:00,5,0,
P8,U73,Good product.,2025-08-11 10:00:00,4,1,
P8,U74,Works fine.,2025-08-12 11:00:00,4,1,
P8,U75,Average.,2025-08-13 12:00:00,3,1,
P8,U76,Not good.,2025-08-14 13:00:00,2,1,
P8,U77,Very bad.,2025-08-15 14:00:00,1,1,
P8,U70,Amazing!!! Best product!!!,2025-08-10 09:03:00,5,0,
P8,U70,Amazing!!! Best product!!!,2025-08-10 09:04:00,5,0,
